year,cases_total,cases_us_born,pct_us_born,rate_us_born,cases_non_us_born,pct_non_us_born,rate_non_us_born,cases_indig,pct_indig,rate_indig,cases_asian,pct_asian,rate_asian,cases_black,pct_black,rate_black,cases_white,pct_white,rate_white,cases_hispanic,pct_hispanic,rate_hispanic
2021,7882,2223,28.2,0.8,5626,71.4,12.5,87,1.1,3.5,2834,36.0,14.4,1420,18.0,3.4,884,11.2,0.4,2410,30.6,3.8
2020,7171,2007,28.0,0.7,5145,71.7,11.7,77,1.1,3.1,2582,36.0,13.2,1413,19.7,3.4,777,10.8,0.4,2132,29.7,3.4
2019,8898,2520,28.3,0.9,6371,71.6,14.2,81,0.9,3.3,3164,35.6,16.6,1751,19.7,4.3,1007,11.3,0.5,2691,30.2,4.5
2018,8998,2640,29.3,0.9,6355,70.6,14.3,103,1.1,4.3,3212,35.7,17.2,1797,20.0,4.4,1067,11.9,0.5,2624,29.2,4.4
2017,9069,2661,29.3,1.0,6402,70.6,14.7,93,1.0,3.9,3269,36.0,17.8,1909,21.0,4.7,1055,11.6,0.5,2553,28.2,4.4
2016,9240,2882,31.2,1.0,6353,68.8,14.7,110,1.2,4.6,3206,34.7,18.0,1985,21.5,4.9,1195,12.9,0.6,2590,28.0,4.5
2015,9538,3126,32.8,1.1,6407,67.2,15.3,145,1.5,6.1,3295,34.5,19.0,1998,20.9,5.0,1234,12.9,0.6,2700,28.3,4.8
2014,9382,3110,33.1,1.1,6266,66.8,15.5,118,1.3,5.0,3083,32.9,18.4,2009,21.4,5.1,1235,13.2,0.6,2751,29.3,5.0
2013,9539,3319,34.8,1.2,6211,65.1,15.7,124,1.3,5.3,3095,32.4,19.1,2087,21.9,5.3,1407,14.7,0.7,2692,28.2,5.0
2012,9923,3615,36.4,1.3,6306,63.5,16.0,134,1.4,5.8,3041,30.6,19.3,2245,22.6,5.8,1555,15.7,0.8,2787,28.1,5.3
2011,10474,3915,37.4,1.5,6554,62.6,17.0,132,1.3,5.8,3154,30.1,20.7,2398,22.9,6.2,1634,15.6,0.8,3001,28.7,5.8
2010,11071,4303,38.9,1.6,6760,61.1,17.6,154,1.4,6.8,3155,28.5,21.4,2650,23.9,7.0,1742,15.7,0.9,3219,29.1,6.3
2009,11494,4485,39.0,1.7,6992,60.8,18.8,102,0.9,4.5,3199,27.8,22.3,2861,24.9,7.6,1809,15.7,0.9,3369,29.3,6.8
2008,12943,5245,40.5,2.0,7689,59.4,20.3,136,1.1,6.1,3421,26.4,24.5,3278,25.3,8.8,2156,16.7,1.1,3815,29.5,8.0
2007,13274,5426,40.9,2.1,7788,58.7,20.9,132,1.0,5.9,3443,25.9,25.5,3470,26.1,9.4,2206,16.6,1.1,3881,29.2,8.4
2006,13720,5852,42.7,2.3,7844,57.2,21.6,165,1.2,7.5,3292,24.0,25.1,3727,27.2,10.2,2385,17.4,1.2,4050,29.5,9.1
2005,14053,6286,44.7,2.5,7737,55.1,22.3,154,1.1,7.0,3198,22.8,25.3,3949,28.1,10.9,2567,18.3,1.3,4044,28.8,9.4
2004,14498,6592,45.5,2.6,7883,54.4,23.2,157,1.1,7.2,3334,23.0,27.3,4069,28.1,11.4,2631,18.1,1.3,4182,28.8,10.1
2003,14832,6832,46.1,2.7,7954,53.6,23.9,179,1.2,8.3,3460,23.3,29.3,4158,28.0,11.7,2793,18.8,1.4,4103,27.7,10.2
2002,15054,7259,48.2,2.9,7740,51.4,25.5,186,1.2,8.7,3321,22.1,28.2,4464,29.7,12.7,3042,20.2,1.6,3976,26.4,10.3
2001,15943,7838,49.2,3.2,8042,50.4,27.7,226,1.4,10.7,3498,21.9,30.9,4781,30.0,13.7,3345,21.0,1.7,4010,25.2,10.8
2000,16306,8627,52.9,3.5,7637,46.8,26.5,232,1.4,11.0,3391,20.8,31.3,5148,31.6,15.0,3639,22.3,1.9,3801,23.3,10.7
1999,17493,9776,55.9,4.0,7625,43.6,28.1,242,1.4,11.9,3516,20.1,34.5,5548,31.7,16.8,4228,24.2,2.2,3862,22.1,12.3
1998,18288,10606,58.0,4.4,7628,41.7,28.9,255,1.4,12.7,3516,19.2,35.6,5823,31.8,17.8,4476,24.5,2.3,4089,22.4,13.5
1997,19753,11920,60.3,4.9,7759,39.3,30.9,264,1.3,13.3,3683,18.6,38.6,6605,33.4,20.4,4825,24.4,2.5,4217,21.3,14.5
1996,21212,13375,63.1,5.6,7764,36.6,32.1,287,1.4,14.7,3666,17.3,39.9,7098,33.5,22.2,5487,25.9,2.8,4493,21.2,16.0
1995,22727,14652,64.5,6.1,8022,35.3,38.1,319,1.4,16.5,3840,16.9,43.4,7554,33.2,23.9,5972,26.3,3.1,4835,21.3,17.8
1994,24207,16170,66.8,6.8,7773,32.1,36.1,327,1.4,17.1,3639,15.0,42.8,8383,34.6,26.9,6573,27.2,3.4,5019,20.7,19.2
1993,25105,17423,69.4,7.4,7416,29.5,34.1,272,1.1,14.4,3456,13.8,42.2,8947,35.6,29.1,6904,27.5,3.6,5137,20.5,20.4
