epoch,accuracy,auc,auc_1,loss,lr,precision,recall,val_accuracy,val_auc,val_auc_1,val_loss,val_precision,val_recall
0,0.84239018,0.882503092,0.798209608,0.953216791,0.001,0.766236901,0.844051421,0.849609375,0.957124829,0.809563935,0.682844698,0.604336023,0.965367973
1,0.932175696,0.975142837,0.960077047,0.115641661,0.001,0.896194696,0.929395974,0.94921875,0.979119241,0.913069546,0.221057042,0.840304196,0.956709981
2,0.943309486,0.98256129,0.972542167,0.093377486,0.001,0.913406372,0.940134227,0.830078125,0.963107944,0.816297293,0.813348651,0.57107234,0.991342008
3,0.951174676,0.982763529,0.97115922,0.086587191,0.001,0.923417568,0.95065701,0.895507813,0.969119132,0.838818252,0.58654356,0.683734953,0.99126637
4,0.964147091,0.990972996,0.98487556,0.058776654,0.001,0.944971025,0.961940527,0.916015625,0.972140968,0.854600072,0.512334645,0.7348243,0.987124443
5,0.974565864,0.995063782,0.990823507,0.037409145,0.0005,0.961558878,0.972125411,0.89453125,0.970280886,0.844165444,0.605123639,0.681681693,0.99126637
6,0.977425933,0.995822191,0.993550181,0.033756368,0.0005,0.964295149,0.976956069,0.930664063,0.976436138,0.875042021,0.440916181,0.768456399,0.991342008
7,0.980796754,0.996856987,0.994539917,0.028308215,0.0005,0.969504118,0.980423689,0.905273438,0.972445488,0.853703797,0.57207787,0.704615414,0.995652199
8,0.986108303,0.998432994,0.997717738,0.019189132,0.00025,0.978422999,0.985246778,0.888671875,0.971826255,0.852820158,0.600516081,0.672463775,0.995708168
9,0.986210406,0.998328626,0.997659743,0.019318255,0.00025,0.978191495,0.985794663,0.899414063,0.972780108,0.854806542,0.570645988,0.690909088,0.995633185
10,0.988151193,0.998853803,0.997989118,0.016027043,0.00025,0.982128561,0.986866772,0.924804688,0.975539446,0.868887663,0.443932593,0.752475262,0.991304338
11,0.987844765,0.998977959,0.998325288,0.015877925,0.000125,0.982095122,0.986047745,0.91015625,0.974615514,0.865160465,0.514870644,0.717868328,0.991342008
12,0.990806937,0.999332726,0.99917835,0.012555202,0.000125,0.986096263,0.989801407,0.908203125,0.974806666,0.866292655,0.539039552,0.71207428,0.995670974
13,0.992134809,0.999585927,0.999464869,0.010870113,0.000125,0.988493443,0.990879834,0.91015625,0.974720657,0.865198374,0.52570194,0.716981113,0.991304338
14,0.991419792,0.999507666,0.999350786,0.011957718,6.25E-05,0.987958252,0.989547014,0.928710938,0.975559294,0.870555043,0.442619473,0.764900684,0.991416335
15,0.992747724,0.999621511,0.999519944,0.009990193,6.25E-05,0.989566624,0.99142319,0.909179688,0.974831223,0.866249979,0.524385214,0.715624988,0.991342008
16,0.993156254,0.999582648,0.999456644,0.010423022,6.25E-05,0.989054978,0.993031383,0.909179688,0.975457788,0.870138884,0.52179122,0.715170264,0.995689631
17,0.992849827,0.999596894,0.9994784,0.010429468,3.13E-05,0.988247871,0.993022025,0.923828125,0.975038409,0.866111338,0.460846215,0.75,0.991304338
18,0.994892776,0.99965471,0.99957794,0.009087647,3.13E-05,0.993301153,0.993301153,0.919921875,0.975442588,0.869084179,0.483635515,0.741100311,0.991342008
19,0.993156254,0.999655843,0.999571919,0.009482375,3.13E-05,0.989046216,0.99302578,0.938476563,0.976881146,0.876243114,0.416853905,0.789655149,0.991342008
20,0.993769169,0.999702692,0.999643266,0.008714278,1.56E-05,0.990112245,0.99356395,0.9375,0.977560759,0.879854679,0.395504147,0.786941588,0.991342008
21,0.995199203,0.999696136,0.999636412,0.008244548,1.56E-05,0.992782652,0.994643807,0.923828125,0.975379825,0.868632674,0.477226853,0.750819683,0.991342008
22,0.994075596,0.999707937,0.999655426,0.008285115,1.56E-05,0.991693437,0.992757499,0.912109375,0.975536644,0.869095623,0.495921552,0.721518993,0.991304338
23,0.994790614,0.999727964,0.999684989,0.007988841,1.56E-05,0.991970003,0.994365454,0.9296875,0.975626528,0.870131671,0.441062778,0.766666651,0.991379321
24,0.995709896,0.999712884,0.999665499,0.007974193,1.00E-05,0.993586302,0.995182037,0.922851563,0.975378275,0.867242634,0.465578765,0.746710539,0.99126637
25,0.993769169,0.999617875,0.999361873,0.008733059,1.00E-05,0.990379453,0.993299365,0.923828125,0.975211978,0.868740439,0.463973582,0.752443016,0.991416335
26,0.995301306,0.999591649,0.999583006,0.007765775,1.00E-05,0.993036985,0.994635165,0.927734375,0.97568363,0.870563984,0.451498985,0.761589408,0.991379321
27,0.995709896,0.999723375,0.9996773,0.007870712,1.00E-05,0.99332267,0.995449662,0.924804688,0.975897372,0.870059192,0.454450727,0.751655638,0.99126637
28,0.995301306,0.999636412,0.999388456,0.008174682,1.00E-05,0.993299365,0.994365454,0.9140625,0.975565434,0.869691789,0.4960908,0.726984143,0.991342008
29,0.995199203,0.999729395,0.999688029,0.00790056,1.00E-05,0.992511392,0.994906187,0.940429688,0.976930141,0.876362145,0.414060265,0.795138896,0.991342008
30,0.995505631,0.999683559,0.999616683,0.008825773,1.00E-05,0.994103432,0.994103432,0.924804688,0.975887656,0.871660948,0.451050252,0.754098356,0.991379321
31,0.994177759,0.99972105,0.999679625,0.008007167,1.00E-05,0.99065423,0.994105041,0.927734375,0.97579515,0.871102929,0.453300595,0.761589408,0.991379321
32,0.995505631,0.999590874,0.999584556,0.007995256,1.00E-05,0.994101882,0.994101882,0.928710938,0.975825071,0.871136248,0.442599863,0.764119625,0.991379321
33,0.995607734,0.999768317,0.999747813,0.00714371,1.00E-05,0.99357599,0.994907558,0.920898438,0.976135254,0.873058379,0.464061975,0.744336545,0.991379321
34,0.995199203,0.999729156,0.999688506,0.007869979,1.00E-05,0.992515385,0.994908869,0.931640625,0.976288795,0.873029053,0.432730734,0.771043777,0.991342008
35,0.995709896,0.999672949,0.999443114,0.007645762,1.00E-05,0.992780745,0.995976388,0.928710938,0.975814342,0.871652067,0.44502604,0.764900684,0.991416335
36,0.994790614,0.999751806,0.999721467,0.007510131,1.00E-05,0.991450727,0.994906187,0.938476563,0.976960182,0.876429856,0.413238585,0.789655149,0.991342008
37,0.994892776,0.999723434,0.999679565,0.008121168,1.00E-05,0.992248058,0.994374514,0.9375,0.977552414,0.879794538,0.418401718,0.786941588,0.991342008
38,0.995097041,0.999693155,0.999631286,0.008389834,1.00E-05,0.993830442,0.993297577,0.927734375,0.975887477,0.871060669,0.45278129,0.760797322,0.991342008
39,0.995301306,0.999638677,0.999392509,0.008156589,1.00E-05,0.992771089,0.994902074,0.920898438,0.976216793,0.873535872,0.45999071,0.744336545,0.991379321
